date,dcoilwtico,DCOILWTICO_20240313
2013-04-24,91.07,91.07
2013-04-25,93.27,93.27
2013-04-26,92.63,92.63
2013-04-29,94.09,94.09
2013-04-30,93.22,93.22
2013-05-01,90.74,90.74
2013-05-02,93.70,93.70
2013-05-03,95.25,95.25
2013-05-06,95.80,95.80
2013-05-07,95.28,95.28
2013-05-08,96.24,96.24
2013-05-09,96.09,96.09
2013-05-10,95.81,95.81
2013-05-13,94.76,94.76
2013-05-14,93.96,93.96
2013-05-15,93.95,93.95
2013-05-16,94.85,94.85
2013-05-17,95.72,95.72
2013-05-20,96.29,96.29
2013-05-21,95.55,95.55
2013-05-22,93.98,93.98
2013-05-23,94.12,94.12
2013-05-24,93.84,93.84
2013-05-27,.,.
2013-05-28,94.65,94.65
2013-05-29,93.13,93.13
2013-05-30,93.57,93.57
2013-05-31,91.93,91.93
2013-06-03,93.41,93.41
2013-06-04,93.36,93.36
2013-06-05,93.66,93.66
2013-06-06,94.71,94.71
2013-06-07,96.11,96.11
2013-06-10,95.82,95.82
2013-06-11,95.50,95.50
2013-06-12,95.98,95.98
2013-06-13,96.66,96.66
2013-06-14,97.83,97.83
2013-06-17,97.86,97.86
2013-06-18,98.46,98.46
2013-06-19,98.24,98.24
2013-06-20,94.89,94.89
2013-06-21,93.81,93.81
2013-06-24,95.07,95.07
2013-06-25,95.25,95.25
2013-06-26,95.47,95.47
2013-06-27,97.00,97.00
2013-06-28,96.36,96.36
2013-07-01,97.94,97.94
2013-07-02,99.65,99.65
2013-07-03,101.92,101.92
2013-07-04,.,.
2013-07-05,103.09,103.09
2013-07-08,103.03,103.03
2013-07-09,103.46,103.46
2013-07-10,106.41,106.41
2013-07-11,104.77,104.77
2013-07-12,105.85,105.85
2013-07-15,106.20,106.20
2013-07-16,105.88,105.88
2013-07-17,106.39,106.39
2013-07-18,107.94,107.94
2013-07-19,108.00,108.00
2013-07-22,106.61,106.61
2013-07-23,107.13,107.13
2013-07-24,105.41,105.41
2013-07-25,105.47,105.47
2013-07-26,104.76,104.76
2013-07-29,104.61,104.61
2013-07-30,103.14,103.14
2013-07-31,105.10,105.10
2013-08-01,107.93,107.93
2013-08-02,106.94,106.94
2013-08-05,106.61,106.61
2013-08-06,105.32,105.32
2013-08-07,104.41,104.41
2013-08-08,103.45,103.45
2013-08-09,106.04,106.04
2013-08-12,106.19,106.19
2013-08-13,106.78,106.78
2013-08-14,106.89,106.89
2013-08-15,107.43,107.43
2013-08-16,107.58,107.58
2013-08-19,107.14,107.14
2013-08-20,104.90,104.90
2013-08-21,103.93,103.93
2013-08-22,104.93,104.93
2013-08-23,106.48,106.48
2013-08-26,105.88,105.88
2013-08-27,109.11,109.11
2013-08-28,110.17,110.17
2013-08-29,108.51,108.51
2013-08-30,107.98,107.98
2013-09-02,.,.
2013-09-03,108.67,108.67
2013-09-04,107.29,107.29
2013-09-05,108.50,108.50
2013-09-06,110.62,110.62
2013-09-09,109.62,109.62
2013-09-10,107.48,107.48
2013-09-11,107.65,107.65
2013-09-12,108.72,108.72
2013-09-13,108.31,108.31
2013-09-16,106.54,106.54
2013-09-17,105.36,105.36
2013-09-18,108.23,108.23
2013-09-19,106.26,106.26
2013-09-20,104.70,104.70
2013-09-23,103.62,103.62
2013-09-24,103.22,103.22
2013-09-25,102.68,102.68
2013-09-26,103.10,103.10
2013-09-27,102.86,102.86
2013-09-30,102.36,102.36
2013-10-01,102.09,102.09
2013-10-02,104.15,104.15
2013-10-03,103.29,103.29
2013-10-04,103.83,103.83
2013-10-07,103.07,103.07
2013-10-08,103.54,103.54
2013-10-09,101.63,101.63
2013-10-10,103.08,103.08
2013-10-11,102.17,102.17
2013-10-14,102.46,102.46
2013-10-15,101.15,101.15
2013-10-16,102.34,102.34
2013-10-17,100.72,100.72
2013-10-18,100.87,100.87
2013-10-21,99.28,99.28
2013-10-22,97.63,97.63
2013-10-23,96.90,96.90
2013-10-24,96.65,96.65
2013-10-25,97.40,97.40
2013-10-28,98.74,98.74
2013-10-29,98.29,98.29
2013-10-30,96.81,96.81
2013-10-31,96.29,96.29
2013-11-01,94.56,94.56
2013-11-04,94.58,94.58
2013-11-05,93.40,93.40
2013-11-06,94.74,94.74
2013-11-07,94.25,94.25
2013-11-08,94.56,94.56
2013-11-11,95.13,95.13
2013-11-12,93.12,93.12
2013-11-13,93.91,93.91
2013-11-14,93.76,93.76
2013-11-15,93.80,93.80
2013-11-18,93.03,93.03
2013-11-19,93.35,93.35
2013-11-20,93.34,93.34
2013-11-21,95.35,95.35
2013-11-22,94.53,94.53
2013-11-25,93.86,93.86
2013-11-26,93.41,93.41
2013-11-27,92.05,92.05
2013-11-28,.,.
2013-11-29,92.55,92.55
2013-12-02,93.61,93.61
2013-12-03,95.83,95.83
2013-12-04,96.97,96.97
2013-12-05,97.14,97.14
2013-12-06,97.48,97.48
2013-12-09,97.10,97.10
2013-12-10,98.32,98.32
2013-12-11,97.25,97.25
2013-12-12,97.21,97.21
2013-12-13,96.27,96.27
2013-12-16,97.18,97.18
2013-12-17,96.99,96.99
2013-12-18,97.59,97.59
2013-12-19,98.40,98.40
2013-12-20,99.11,99.11
2013-12-23,98.62,98.62
2013-12-24,98.87,98.87
2013-12-25,.,.
2013-12-26,99.18,99.18
2013-12-27,99.94,99.94
2013-12-30,98.90,98.90
2013-12-31,98.17,98.17
2014-01-01,.,.
2014-01-02,95.14,95.14
2014-01-03,93.66,93.66
2014-01-06,93.12,93.12
2014-01-07,93.31,93.31
2014-01-08,91.90,91.90
2014-01-09,91.36,91.36
2014-01-10,92.39,92.39
2014-01-13,91.45,91.45
2014-01-14,92.15,92.15
2014-01-15,93.78,93.78
2014-01-16,93.54,93.54
2014-01-17,93.96,93.96
2014-01-20,.,.
2014-01-21,94.51,94.51
2014-01-22,96.35,96.35
2014-01-23,97.23,97.23
2014-01-24,96.66,96.66
2014-01-27,95.82,95.82
2014-01-28,97.49,97.49
2014-01-29,97.34,97.34
2014-01-30,98.25,98.25
2014-01-31,97.55,97.55
2014-02-03,96.44,96.44
2014-02-04,97.24,97.24
2014-02-05,97.40,97.40
2014-02-06,97.84,97.84
2014-02-07,99.98,99.98
2014-02-10,100.12,100.12
2014-02-11,99.96,99.96
2014-02-12,100.38,100.38
2014-02-13,100.27,100.27
2014-02-14,100.31,100.31
2014-02-17,.,.
2014-02-18,102.54,102.54
2014-02-19,103.46,103.46
2014-02-20,103.20,103.20
2014-02-21,102.53,102.53
2014-02-24,103.17,103.17
2014-02-25,102.20,102.20
2014-02-26,102.93,102.93
2014-02-27,102.68,102.68
2014-02-28,102.88,102.88
2014-03-03,105.34,105.34
2014-03-04,103.64,103.64
2014-03-05,101.75,101.75
2014-03-06,101.82,101.82
2014-03-07,102.82,102.82
2014-03-10,101.39,101.39
2014-03-11,100.29,100.29
2014-03-12,98.29,98.29
2014-03-13,98.57,98.57
2014-03-14,99.23,99.23
2014-03-17,98.43,98.43
2014-03-18,100.08,100.08
2014-03-19,100.71,100.71
2014-03-20,99.68,99.68
2014-03-21,99.97,99.97
2014-03-24,100.05,100.05
2014-03-25,99.66,99.66
2014-03-26,100.61,100.61
2014-03-27,101.25,101.25
2014-03-28,101.73,101.73
2014-03-31,101.57,101.57
2014-04-01,99.69,99.69
2014-04-02,99.60,99.60
2014-04-03,100.29,100.29
2014-04-04,101.16,101.16
2014-04-07,100.43,100.43
2014-04-08,102.57,102.57
2014-04-09,103.55,103.55
2014-04-10,103.37,103.37
2014-04-11,103.68,103.68
2014-04-14,104.05,104.05
2014-04-15,103.70,103.70
2014-04-16,103.71,103.71
2014-04-17,104.33,104.33
2014-04-18,.,.
2014-04-21,104.35,104.35
2014-04-22,101.69,101.69
2014-04-23,101.47,101.47
2014-04-24,102.20,102.20
2014-04-25,100.85,100.85
2014-04-28,101.13,101.13
2014-04-29,101.56,101.56
2014-04-30,100.07,100.07
2014-05-01,99.69,99.69
2014-05-02,100.09,100.09
2014-05-05,99.74,99.74
2014-05-06,99.81,99.81
2014-05-07,101.06,101.06
2014-05-08,100.52,100.52
2014-05-09,100.32,100.32
2014-05-12,100.89,100.89
2014-05-13,102.01,102.01
2014-05-14,102.63,102.63
2014-05-15,101.74,101.74
2014-05-16,102.31,102.31
2014-05-19,102.95,102.95
2014-05-20,102.80,102.80
2014-05-21,104.31,104.31
2014-05-22,104.03,104.03
2014-05-23,105.01,105.01
2014-05-26,.,.
2014-05-27,104.78,104.78
2014-05-28,103.37,103.37
2014-05-29,104.26,104.26
2014-05-30,103.40,103.40
2014-06-02,103.07,103.07
2014-06-03,103.34,103.34
2014-06-04,103.27,103.27
2014-06-05,103.17,103.17
2014-06-06,103.32,103.32
2014-06-09,105.09,105.09
2014-06-10,105.02,105.02
2014-06-11,105.04,105.04
2014-06-12,107.20,107.20
2014-06-13,107.49,107.49
2014-06-16,107.52,107.52
2014-06-17,106.95,106.95
2014-06-18,106.64,106.64
2014-06-19,107.08,107.08
2014-06-20,107.95,107.95
2014-06-23,106.83,106.83
2014-06-24,106.64,106.64
2014-06-25,107.04,107.04
2014-06-26,106.49,106.49
2014-06-27,106.46,106.46
2014-06-30,106.07,106.07
2014-07-01,106.06,106.06
2014-07-02,105.18,105.18
2014-07-03,104.76,104.76
2014-07-04,.,.
2014-07-07,104.19,104.19
2014-07-08,104.06,104.06
2014-07-09,102.93,102.93
2014-07-10,103.61,103.61
2014-07-11,101.48,101.48
2014-07-14,101.73,101.73
2014-07-15,100.56,100.56
2014-07-16,101.88,101.88
2014-07-17,103.84,103.84
2014-07-18,103.83,103.83
2014-07-21,105.34,105.34
2014-07-22,104.59,104.59
2014-07-23,103.81,103.81
2014-07-24,102.76,102.76
2014-07-25,105.23,105.23
2014-07-28,105.68,105.68
2014-07-29,104.91,104.91
2014-07-30,104.29,104.29
2014-07-31,98.23,98.23
2014-08-01,97.86,97.86
2014-08-04,98.26,98.26
2014-08-05,97.34,97.34
2014-08-06,96.93,96.93
2014-08-07,97.34,97.34
2014-08-08,97.61,97.61
2014-08-11,98.09,98.09
2014-08-12,97.36,97.36
2014-08-13,97.57,97.57
2014-08-14,95.54,95.54
2014-08-15,97.30,97.30
2014-08-18,96.44,96.44
2014-08-19,94.35,94.35
2014-08-20,96.40,96.40
2014-08-21,93.97,93.97
2014-08-22,93.61,93.61
2014-08-25,95.39,95.39
2014-08-26,95.78,95.78
2014-08-27,95.82,95.82
2014-08-28,96.44,96.44
2014-08-29,97.86,97.86
2014-09-01,.,.
2014-09-02,92.92,92.92
2014-09-03,95.50,95.50
2014-09-04,94.51,94.51
2014-09-05,93.32,93.32
2014-09-08,92.64,92.64
2014-09-09,92.73,92.73
2014-09-10,91.71,91.71
2014-09-11,92.89,92.89
2014-09-12,92.18,92.18
2014-09-15,92.86,92.86
2014-09-16,94.91,94.91
2014-09-17,94.33,94.33
2014-09-18,93.07,93.07
2014-09-19,92.43,92.43
2014-09-22,91.46,91.46
2014-09-23,91.55,91.55
2014-09-24,93.60,93.60
2014-09-25,93.59,93.59
2014-09-26,95.55,95.55
2014-09-29,94.53,94.53
2014-09-30,91.17,91.17
2014-10-01,90.74,90.74
2014-10-02,91.02,91.02
2014-10-03,89.76,89.76
2014-10-06,90.33,90.33
2014-10-07,88.89,88.89
2014-10-08,87.29,87.29
2014-10-09,85.76,85.76
2014-10-10,85.87,85.87
2014-10-13,85.73,85.73
2014-10-14,81.72,81.72
2014-10-15,81.82,81.82
2014-10-16,82.33,82.33
2014-10-17,82.80,82.80
2014-10-20,82.76,82.76
2014-10-21,83.25,83.25
2014-10-22,80.52,80.52
2014-10-23,82.81,82.81
2014-10-24,81.27,81.27
2014-10-27,81.26,81.26
2014-10-28,81.36,81.36
2014-10-29,82.25,82.25
2014-10-30,81.06,81.06
2014-10-31,80.53,80.53
2014-11-03,78.77,78.77
2014-11-04,77.15,77.15
2014-11-05,78.71,78.71
2014-11-06,77.87,77.87
2014-11-07,78.71,78.71
2014-11-10,77.43,77.43
2014-11-11,77.85,77.85
2014-11-12,77.16,77.16
2014-11-13,74.13,74.13
2014-11-14,75.91,75.91
2014-11-17,75.64,75.64
2014-11-18,74.55,74.55
2014-11-19,74.55,74.55
2014-11-20,75.63,75.63
2014-11-21,76.52,76.52
2014-11-24,75.74,75.74
2014-11-25,74.04,74.04
2014-11-26,73.70,73.70
2014-11-27,.,.
2014-11-28,65.94,65.94
2014-12-01,68.98,68.98
2014-12-02,66.99,66.99
2014-12-03,67.30,67.30
2014-12-04,66.73,66.73
2014-12-05,65.89,65.89
2014-12-08,63.13,63.13
2014-12-09,63.74,63.74
2014-12-10,60.99,60.99
2014-12-11,60.01,60.01
2014-12-12,57.81,57.81
2014-12-15,55.96,55.96
2014-12-16,55.97,55.97
2014-12-17,56.43,56.43
2014-12-18,54.18,54.18
2014-12-19,56.91,56.91
2014-12-22,55.25,55.25
2014-12-23,56.78,56.78
2014-12-24,55.70,55.70
2014-12-25,.,.
2014-12-26,54.59,54.59
2014-12-29,53.46,53.46
2014-12-30,54.14,54.14
2014-12-31,53.45,53.45
2015-01-01,.,.
2015-01-02,52.72,52.72
2015-01-05,50.05,50.05
2015-01-06,47.98,47.98
2015-01-07,48.69,48.69
2015-01-08,48.80,48.80
2015-01-09,48.35,48.35
2015-01-12,46.06,46.06
2015-01-13,45.92,45.92
2015-01-14,48.49,48.49
2015-01-15,46.37,46.37
2015-01-16,48.49,48.49
2015-01-19,.,.
2015-01-20,46.79,46.79
2015-01-21,47.85,47.85
2015-01-22,45.93,45.93
2015-01-23,45.26,45.26
2015-01-26,44.80,44.80
2015-01-27,45.84,45.84
2015-01-28,44.08,44.08
2015-01-29,44.12,44.12
2015-01-30,47.79,47.79
2015-02-02,49.25,49.25
2015-02-03,53.04,53.04
2015-02-04,48.45,48.45
2015-02-05,50.48,50.48
2015-02-06,51.66,51.66
2015-02-09,52.99,52.99
2015-02-10,50.06,50.06
2015-02-11,48.80,48.80
2015-02-12,51.17,51.17
2015-02-13,52.66,52.66
2015-02-16,.,.
2015-02-17,53.56,53.56
2015-02-18,52.13,52.13
2015-02-19,51.12,51.12
2015-02-20,49.95,49.95
2015-02-23,49.56,49.56
2015-02-24,48.48,48.48
2015-02-25,50.25,50.25
2015-02-26,47.65,47.65
2015-02-27,49.84,49.84
2015-03-02,49.59,49.59
2015-03-03,50.43,50.43
2015-03-04,51.53,51.53
2015-03-05,50.76,50.76
2015-03-06,49.61,49.61
2015-03-09,49.95,49.95
2015-03-10,48.42,48.42
2015-03-11,48.06,48.06
2015-03-12,47.12,47.12
2015-03-13,44.88,44.88
2015-03-16,43.93,43.93
2015-03-17,43.39,43.39
2015-03-18,44.63,44.63
2015-03-19,44.02,44.02
2015-03-20,46.00,46.00
2015-03-23,47.40,47.40
2015-03-24,47.03,47.03
2015-03-25,48.75,48.75
2015-03-26,51.41,51.41
2015-03-27,48.83,48.83
2015-03-30,48.66,48.66
2015-03-31,47.72,47.72
2015-04-01,50.12,50.12
2015-04-02,49.13,49.13
2015-04-03,.,.
2015-04-06,52.08,52.08
2015-04-07,53.95,53.95
2015-04-08,50.44,50.44
2015-04-09,50.79,50.79
2015-04-10,51.63,51.63
2015-04-13,51.95,51.95
2015-04-14,53.30,53.30
2015-04-15,56.25,56.25
2015-04-16,56.69,56.69
2015-04-17,55.71,55.71
2015-04-20,56.37,56.37
2015-04-21,55.58,55.58
2015-04-22,56.17,56.17
2015-04-23,56.59,56.59
2015-04-24,55.98,55.98
2015-04-27,55.56,55.56
2015-04-28,57.05,57.05
2015-04-29,58.55,58.55
2015-04-30,59.62,59.62
2015-05-01,59.10,59.10
2015-05-04,58.92,58.92
2015-05-05,60.38,60.38
2015-05-06,60.93,60.93
2015-05-07,58.99,58.99
2015-05-08,59.41,59.41
2015-05-11,59.23,59.23
2015-05-12,60.72,60.72
2015-05-13,60.50,60.50
2015-05-14,59.89,59.89
2015-05-15,59.73,59.73
2015-05-18,59.44,59.44
2015-05-19,57.30,57.30
2015-05-20,58.96,58.96
2015-05-21,60.18,60.18
2015-05-22,58.88,58.88
2015-05-25,.,.
2015-05-26,57.29,57.29
2015-05-27,57.51,57.51
2015-05-28,57.69,57.69
2015-05-29,60.25,60.25
2015-06-01,60.24,60.24
2015-06-02,61.30,61.30
2015-06-03,59.67,59.67
2015-06-04,58.00,58.00
2015-06-05,59.11,59.11
2015-06-08,58.15,58.15
2015-06-09,60.15,60.15
2015-06-10,61.36,61.36
2015-06-11,60.74,60.74
2015-06-12,59.96,59.96
2015-06-15,59.53,59.53
2015-06-16,60.01,60.01
2015-06-17,59.89,59.89
2015-06-18,60.41,60.41
2015-06-19,59.62,59.62
2015-06-22,60.01,60.01
2015-06-23,61.05,61.05
2015-06-24,60.01,60.01
2015-06-25,59.59,59.59
2015-06-26,59.41,59.41
2015-06-29,58.34,58.34
2015-06-30,59.48,59.48
2015-07-01,56.94,56.94
2015-07-02,56.93,56.93
2015-07-03,.,.
2015-07-06,52.48,52.48
2015-07-07,52.33,52.33
2015-07-08,51.61,51.61
2015-07-09,52.76,52.76
2015-07-10,52.74,52.74
2015-07-13,52.19,52.19
2015-07-14,53.05,53.05
2015-07-15,51.40,51.40
2015-07-16,50.90,50.90
2015-07-17,50.88,50.88
2015-07-20,50.11,50.11
2015-07-21,50.59,50.59
2015-07-22,49.27,49.27
2015-07-23,48.11,48.11
2015-07-24,47.98,47.98
2015-07-27,47.17,47.17
2015-07-28,47.97,47.97
2015-07-29,48.77,48.77
2015-07-30,48.53,48.53
2015-07-31,47.11,47.11
2015-08-03,45.25,45.25
2015-08-04,45.75,45.75
2015-08-05,45.13,45.13
2015-08-06,44.69,44.69
2015-08-07,43.87,43.87
2015-08-10,44.94,44.94
2015-08-11,43.11,43.11
2015-08-12,43.22,43.22
2015-08-13,42.27,42.27
2015-08-14,42.45,42.45
2015-08-17,41.93,41.93
2015-08-18,42.58,42.58
2015-08-19,40.75,40.75
2015-08-20,41.00,41.00
2015-08-21,40.45,40.45
2015-08-24,38.22,38.22
2015-08-25,39.15,39.15
2015-08-26,38.50,38.50
2015-08-27,42.47,42.47
2015-08-28,45.29,45.29
2015-08-31,49.20,49.20
2015-09-01,45.38,45.38
2015-09-02,46.30,46.30
2015-09-03,46.75,46.75
2015-09-04,46.02,46.02
2015-09-07,.,.
2015-09-08,45.92,45.92
2015-09-09,44.13,44.13
2015-09-10,45.85,45.85
2015-09-11,44.75,44.75
2015-09-14,44.07,44.07
2015-09-15,44.58,44.58
2015-09-16,47.12,47.12
2015-09-17,46.93,46.93
2015-09-18,44.71,44.71
2015-09-21,46.67,46.67
2015-09-22,46.17,46.17
2015-09-23,44.53,44.53
2015-09-24,44.94,44.94
2015-09-25,45.55,45.55
2015-09-28,44.40,44.40
2015-09-29,45.24,45.24
2015-09-30,45.06,45.06
2015-10-01,44.75,44.75
2015-10-02,45.54,45.54
2015-10-05,46.28,46.28
2015-10-06,48.53,48.53
2015-10-07,47.86,47.86
2015-10-08,49.46,49.46
2015-10-09,49.67,49.67
2015-10-12,47.09,47.09
2015-10-13,46.70,46.70
2015-10-14,46.63,46.63
2015-10-15,46.38,46.38
2015-10-16,47.30,47.30
2015-10-19,45.91,45.91
2015-10-20,45.84,45.84
2015-10-21,45.22,45.22
2015-10-22,44.90,44.90
2015-10-23,43.91,43.91
2015-10-26,43.19,43.19
2015-10-27,43.21,43.21
2015-10-28,45.93,45.93
2015-10-29,46.02,46.02
2015-10-30,46.60,46.60
2015-11-02,46.12,46.12
2015-11-03,47.88,47.88
2015-11-04,46.32,46.32
2015-11-05,45.27,45.27
2015-11-06,44.32,44.32
2015-11-09,43.87,43.87
2015-11-10,44.23,44.23
2015-11-11,42.95,42.95
2015-11-12,41.74,41.74
2015-11-13,40.69,40.69
2015-11-16,41.68,41.68
2015-11-17,40.73,40.73
2015-11-18,40.75,40.75
2015-11-19,40.55,40.55
2015-11-20,39.39,39.39
2015-11-23,39.27,39.27
2015-11-24,40.89,40.89
2015-11-25,41.22,41.22
2015-11-26,.,.
2015-11-27,40.57,40.57
2015-11-30,40.43,40.43
2015-12-01,40.58,40.58
2015-12-02,39.93,39.93
2015-12-03,41.08,41.08
2015-12-04,40.00,40.00
2015-12-07,37.64,37.64
2015-12-08,37.46,37.46
2015-12-09,37.16,37.16
2015-12-10,36.76,36.76
2015-12-11,35.65,35.65
2015-12-14,36.31,36.31
2015-12-15,37.32,37.32
2015-12-16,35.55,35.55
2015-12-17,34.98,34.98
2015-12-18,34.72,34.72
2015-12-21,34.55,34.55
2015-12-22,36.12,36.12
2015-12-23,36.76,36.76
2015-12-24,37.62,37.62
2015-12-25,.,.
2015-12-28,36.36,36.36
2015-12-29,37.88,37.88
2015-12-30,36.59,36.59
2015-12-31,37.13,37.13
2016-01-01,.,.
2016-01-04,36.81,36.81
2016-01-05,35.97,35.97
2016-01-06,33.97,33.97
2016-01-07,33.29,33.29
2016-01-08,33.20,33.20
2016-01-11,31.42,31.42
2016-01-12,30.42,30.42
2016-01-13,30.42,30.42
2016-01-14,31.22,31.22
2016-01-15,29.45,29.45
2016-01-18,.,.
2016-01-19,28.47,28.47
2016-01-20,26.68,26.68
2016-01-21,29.55,29.55
2016-01-22,32.07,32.07
2016-01-25,30.31,30.31
2016-01-26,29.54,29.54
2016-01-27,32.32,32.32
2016-01-28,33.21,33.21
2016-01-29,33.66,33.66
2016-02-01,31.62,31.62
2016-02-02,29.90,29.90
2016-02-03,32.29,32.29
2016-02-04,31.63,31.63
2016-02-05,30.86,30.86
2016-02-08,29.71,29.71
2016-02-09,27.96,27.96
2016-02-10,27.54,27.54
2016-02-11,26.19,26.19
2016-02-12,29.32,29.32
2016-02-15,.,.
2016-02-16,29.05,29.05
2016-02-17,30.68,30.68
2016-02-18,30.77,30.77
2016-02-19,29.59,29.59
2016-02-22,31.37,31.37
2016-02-23,31.84,31.84
2016-02-24,30.35,30.35
2016-02-25,31.40,31.40
2016-02-26,31.65,31.65
2016-02-29,32.74,32.74
2016-03-01,34.39,34.39
2016-03-02,34.57,34.57
2016-03-03,34.56,34.56
2016-03-04,35.91,35.91
2016-03-07,37.90,37.90
2016-03-08,36.67,36.67
2016-03-09,37.62,37.62
2016-03-10,37.77,37.77
2016-03-11,38.51,38.51
2016-03-14,37.20,37.20
2016-03-15,36.32,36.32
2016-03-16,38.43,38.43
2016-03-17,40.17,40.17
2016-03-18,39.47,39.47
2016-03-21,39.91,39.91
2016-03-22,41.45,41.45
2016-03-23,38.28,38.28
2016-03-24,38.14,38.14
2016-03-25,.,.
2016-03-28,37.99,37.99
2016-03-29,36.91,36.91
2016-03-30,36.91,36.91
2016-03-31,36.94,36.94
2016-04-01,35.36,35.36
2016-04-04,34.30,34.30
2016-04-05,34.52,34.52
2016-04-06,37.74,37.74
2016-04-07,37.30,37.30
2016-04-08,39.74,39.74
2016-04-11,40.46,40.46
2016-04-12,42.12,42.12
2016-04-13,41.70,41.70
2016-04-14,41.45,41.45
2016-04-15,40.40,40.40
2016-04-18,39.74,39.74
2016-04-19,40.88,40.88
2016-04-20,42.72,42.72
2016-04-21,43.18,43.18
2016-04-22,42.76,42.76
2016-04-25,41.67,41.67
2016-04-26,42.52,42.52
2016-04-27,45.29,45.29
2016-04-28,46.03,46.03
2016-04-29,45.98,45.98
2016-05-02,44.75,44.75
2016-05-03,43.65,43.65
2016-05-04,43.77,43.77
2016-05-05,44.33,44.33
2016-05-06,44.58,44.58
2016-05-09,43.45,43.45
2016-05-10,44.68,44.68
2016-05-11,46.21,46.21
2016-05-12,46.64,46.64
2016-05-13,46.22,46.22
2016-05-16,47.72,47.72
2016-05-17,48.29,48.29
2016-05-18,48.12,48.12
2016-05-19,48.16,48.16
2016-05-20,47.67,47.67
2016-05-23,48.12,48.12
2016-05-24,48.04,48.04
2016-05-25,49.10,49.10
2016-05-26,49.00,49.00
2016-05-27,49.36,49.36
2016-05-30,.,.
2016-05-31,49.10,49.10
2016-06-01,49.07,49.07
2016-06-02,49.14,49.14
2016-06-03,48.69,48.69
2016-06-06,49.71,49.71
2016-06-07,50.37,50.37
2016-06-08,51.23,51.23
2016-06-09,50.52,50.52
2016-06-10,49.09,49.09
2016-06-13,48.89,48.89
2016-06-14,48.49,48.49
2016-06-15,47.92,47.92
2016-06-16,46.14,46.14
2016-06-17,48.00,48.00
2016-06-20,49.40,49.40
2016-06-21,48.95,48.95
2016-06-22,49.16,49.16
2016-06-23,49.34,49.34
2016-06-24,46.70,46.70
2016-06-27,45.80,45.80
2016-06-28,47.93,47.93
2016-06-29,49.85,49.85
2016-06-30,48.27,48.27
2016-07-01,49.02,49.02
2016-07-04,.,.
2016-07-05,46.73,46.73
2016-07-06,47.37,47.37
2016-07-07,45.22,45.22
2016-07-08,45.37,45.37
2016-07-11,44.73,44.73
2016-07-12,46.82,46.82
2016-07-13,44.87,44.87
2016-07-14,45.64,45.64
2016-07-15,45.93,45.93
2016-07-18,45.23,45.23
2016-07-19,44.64,44.64
2016-07-20,44.96,44.96
2016-07-21,43.96,43.96
2016-07-22,43.41,43.41
2016-07-25,42.40,42.40
2016-07-26,42.16,42.16
2016-07-27,41.90,41.90
2016-07-28,41.13,41.13
2016-07-29,41.54,41.54
2016-08-01,40.05,40.05
2016-08-02,39.50,39.50
2016-08-03,40.80,40.80
2016-08-04,41.92,41.92
2016-08-05,41.83,41.83
