item_nbr,item_nbr_numeric,class,family,perishable,Price
807495,807495,1124,BEVERAGES,0,8.21910823
819932,819932,1122,BEVERAGES,0,5.046625421
819933,819933,1122,BEVERAGES,0,6.956997672
819934,819934,1122,BEVERAGES,0,10.56564069
821186,821186,1124,BEVERAGES,0,4.96687211
839362,839362,1124,BEVERAGES,0,5.389797976
839363,839363,1124,BEVERAGES,0,3.297759221
839364,839364,1124,BEVERAGES,0,3.908020319
839367,839367,1124,BEVERAGES,0,2.877069225
847859,847859,1122,BEVERAGES,0,10.28722337
871421,871421,1124,BEVERAGES,0,7.39339295
884878,884878,1124,BEVERAGES,0,10.00565536
886067,886067,1120,BEVERAGES,0,7.899836525
903955,903955,1122,BEVERAGES,0,2.097800697
906979,906979,1120,BEVERAGES,0,5.891411016
906980,906980,1120,BEVERAGES,0,3.27656469
906981,906981,1120,BEVERAGES,0,1.585380804
907684,907684,1120,BEVERAGES,0,8.031836439
907686,907686,1120,BEVERAGES,0,9.093265745
913102,913102,1124,BEVERAGES,0,10.35349567
915980,915980,1122,BEVERAGES,0,10.92795359
938657,938657,1136,BEVERAGES,0,10.55024722
938659,938659,1136,BEVERAGES,0,8.839275059
940664,940664,1124,BEVERAGES,0,7.888532161
940665,940665,1124,BEVERAGES,0,8.057375952
951675,951675,1124,BEVERAGES,0,10.94562914
958516,958516,1122,BEVERAGES,0,5.648013228
958519,958519,1122,BEVERAGES,0,5.550968778
968432,968432,1122,BEVERAGES,0,5.367974633
996122,996122,1124,BEVERAGES,0,1.194308052
1022053,1022053,1126,BEVERAGES,0,2.75542195
1037856,1037856,1120,BEVERAGES,0,1.060354773
1037857,1037857,1120,BEVERAGES,0,2.856176306
1044584,1044584,1124,BEVERAGES,0,5.77598696
1047674,1047674,1120,BEVERAGES,0,8.90290215
1047675,1047675,1120,BEVERAGES,0,10.44291953
1047679,1047679,1120,BEVERAGES,0,8.930239685
1047680,1047680,1120,BEVERAGES,0,2.590900381
1047681,1047681,1120,BEVERAGES,0,9.137706312
1047682,1047682,1120,BEVERAGES,0,9.782009227
1047685,1047685,1120,BEVERAGES,0,5.684656857
1047686,1047686,1120,BEVERAGES,0,9.813012089
1047690,1047690,1120,BEVERAGES,0,6.51967137
1047695,1047695,1122,BEVERAGES,0,3.995092916
1047696,1047696,1122,BEVERAGES,0,8.086682126
1047698,1047698,1122,BEVERAGES,0,3.055538858
1047699,1047699,1122,BEVERAGES,0,5.497203692
1047702,1047702,1122,BEVERAGES,0,8.425239536
1047703,1047703,1122,BEVERAGES,0,2.109170555
1047705,1047705,1122,BEVERAGES,0,10.33077222
1047707,1047707,1122,BEVERAGES,0,5.561242148
1047709,1047709,1122,BEVERAGES,0,8.134040596
1047717,1047717,1122,BEVERAGES,0,10.74311015
1047721,1047721,1122,BEVERAGES,0,4.769163547
1047733,1047733,1124,BEVERAGES,0,6.25645427
1047734,1047734,1124,BEVERAGES,0,8.526577489
1047735,1047735,1124,BEVERAGES,0,5.581325705
1047740,1047740,1124,BEVERAGES,0,1.266754236
1047743,1047743,1124,BEVERAGES,0,4.15658136
1047751,1047751,1126,BEVERAGES,0,6.82788027
1047752,1047752,1126,BEVERAGES,0,3.91163297
1047753,1047753,1126,BEVERAGES,0,8.36227801
1047755,1047755,1126,BEVERAGES,0,3.227161897
1047756,1047756,1126,BEVERAGES,0,4.902727703
1047757,1047757,1126,BEVERAGES,0,6.096302285
1047758,1047758,1126,BEVERAGES,0,5.222884706
1047772,1047772,1126,BEVERAGES,0,2.803808417
1047773,1047773,1126,BEVERAGES,0,10.08840861
1047774,1047774,1126,BEVERAGES,0,9.538999901
1047775,1047775,1126,BEVERAGES,0,2.175563233
1047786,1047786,1126,BEVERAGES,0,1.601084273
1047790,1047790,1138,BEVERAGES,0,3.292943156
1047793,1047793,1138,BEVERAGES,0,7.276605787
1050142,1050142,1124,BEVERAGES,0,10.69111422
1060036,1060036,1138,BEVERAGES,0,7.790186724
1062926,1062926,1122,BEVERAGES,0,8.618518387
1062927,1062927,1122,BEVERAGES,0,8.605913379
1066900,1066900,1136,BEVERAGES,0,10.51069418
1066901,1066901,1136,BEVERAGES,0,10.40294001
1071949,1071949,1120,BEVERAGES,0,5.130753785
1074327,1074327,1120,BEVERAGES,0,4.920321109
1084425,1084425,1136,BEVERAGES,0,3.103571113
1088002,1088002,1126,BEVERAGES,0,8.522954267
1101724,1101724,1132,BEVERAGES,0,5.661506567
1102970,1102970,1122,BEVERAGES,0,2.305690391
1102971,1102971,1122,BEVERAGES,0,9.315150265
1102975,1102975,1122,BEVERAGES,0,5.763663841
1102976,1102976,1122,BEVERAGES,0,9.292827189
1104725,1104725,1132,BEVERAGES,0,2.949125084
1109116,1109116,1120,BEVERAGES,0,5.290082736
1109325,1109325,1136,BEVERAGES,0,6.386757842
1109326,1109326,1136,BEVERAGES,0,7.995808286
1112450,1112450,1136,BEVERAGES,0,3.85287433
1114566,1114566,1124,BEVERAGES,0,3.318453775
1114567,1114567,1124,BEVERAGES,0,2.946231744
1114924,1114924,1132,BEVERAGES,0,3.7757923
1117661,1117661,1132,BEVERAGES,0,8.818192033
1117662,1117662,1132,BEVERAGES,0,7.75989853
1124164,1124164,1124,BEVERAGES,0,3.273518604
1124165,1124165,1124,BEVERAGES,0,8.949771782
1132005,1132005,1132,BEVERAGES,0,6.477937919
1134971,1134971,1132,BEVERAGES,0,8.254642406
1143685,1143685,1124,BEVERAGES,0,3.728345531
1143686,1143686,1124,BEVERAGES,0,10.26239618
1145597,1145597,1124,BEVERAGES,0,3.315125526
1148812,1148812,1120,BEVERAGES,0,7.427353645
1150954,1150954,1124,BEVERAGES,0,4.830529147
1153584,1153584,1122,BEVERAGES,0,8.46567614
1157479,1157479,1136,BEVERAGES,0,7.257614728
1161555,1161555,1132,BEVERAGES,0,5.667109749
1161556,1161556,1132,BEVERAGES,0,6.229374694
1161557,1161557,1132,BEVERAGES,0,9.353982651
1163577,1163577,1132,BEVERAGES,0,2.751216071
1164923,1164923,1132,BEVERAGES,0,10.14309729
1166474,1166474,1120,BEVERAGES,0,3.478004379
1166475,1166475,1120,BEVERAGES,0,4.90737813
1167544,1167544,1124,BEVERAGES,0,2.766584813
1167545,1167545,1124,BEVERAGES,0,6.021027504
1173213,1173213,1126,BEVERAGES,0,10.1826352
1182733,1182733,1120,BEVERAGES,0,10.93973701
1224521,1224521,1120,BEVERAGES,0,4.656384201
1228319,1228319,1136,BEVERAGES,0,9.503744187
1240160,1240160,1120,BEVERAGES,0,4.163262804
1243803,1243803,1120,BEVERAGES,0,3.913460086
1243805,1243805,1120,BEVERAGES,0,6.833507756
1243814,1243814,1122,BEVERAGES,0,3.629310336
1243815,1243815,1122,BEVERAGES,0,9.203249081
1243816,1243816,1122,BEVERAGES,0,6.887270922
1243817,1243817,1122,BEVERAGES,0,9.347127855
1255777,1255777,1124,BEVERAGES,0,7.30088039
1261025,1261025,1124,BEVERAGES,0,9.649919571
1281011,1281011,1124,BEVERAGES,0,8.251018303
1285150,1285150,1124,BEVERAGES,0,6.703484081
1285154,1285154,1124,BEVERAGES,0,3.39714151
1309297,1309297,1120,BEVERAGES,0,3.426179626
1309298,1309298,1122,BEVERAGES,0,8.348891385
1309300,1309300,1124,BEVERAGES,0,5.21250976
1324182,1324182,1132,BEVERAGES,0,5.038236687
1328495,1328495,1136,BEVERAGES,0,9.431920184
1336459,1336459,1124,BEVERAGES,0,3.531628625
1336461,1336461,1124,BEVERAGES,0,9.703591551
1350565,1350565,1136,BEVERAGES,0,2.167263183
1359503,1359503,1120,BEVERAGES,0,10.82477615
1393033,1393033,1122,BEVERAGES,0,6.105608007
1397060,1397060,1122,BEVERAGES,0,6.485553991
1397061,1397061,1122,BEVERAGES,0,10.87516474
1397062,1397062,1122,BEVERAGES,0,9.006754189
1404385,1404385,1124,BEVERAGES,0,1.690051876
1421156,1421156,1136,BEVERAGES,0,6.140383391
1421428,1421428,1124,BEVERAGES,0,3.342502966
1421429,1421429,1136,BEVERAGES,0,8.143399035
1428328,1428328,1120,BEVERAGES,0,8.120038489
1428330,1428330,1120,BEVERAGES,0,3.628648971
1428331,1428331,1120,BEVERAGES,0,4.141961247
1430040,1430040,1120,BEVERAGES,0,1.688299248
1430041,1430041,1120,BEVERAGES,0,7.698164524
1455482,1455482,1152,BEVERAGES,0,6.738175827
1455485,1455485,1152,BEVERAGES,0,8.656402839
1455886,1455886,1153,BEVERAGES,0,1.461094275
1458834,1458834,1122,BEVERAGES,0,3.772194723
1463441,1463441,1132,BEVERAGES,0,1.471465422
1463483,1463483,1116,BEVERAGES,0,10.75767424
1463484,1463484,1116,BEVERAGES,0,3.753305961
1463507,1463507,1118,BEVERAGES,0,5.948261576
1463509,1463509,1118,BEVERAGES,0,2.110030827
1463510,1463510,1118,BEVERAGES,0,7.010937759
1463555,1463555,1114,BEVERAGES,0,7.003531084
1463566,1463566,1190,BEVERAGES,0,7.368422373
1463568,1463568,1190,BEVERAGES,0,6.584416151
1463569,1463569,1190,BEVERAGES,0,6.393075857
1463587,1463587,1190,BEVERAGES,0,9.409893966
1463591,1463591,1190,BEVERAGES,0,3.615151053
1463594,1463594,1190,BEVERAGES,0,7.028582095
1463595,1463595,1190,BEVERAGES,0,8.573840333
1463596,1463596,1190,BEVERAGES,0,7.309128535
1463602,1463602,1190,BEVERAGES,0,4.794605118
1463603,1463603,1190,BEVERAGES,0,9.578276101
1463604,1463604,1190,BEVERAGES,0,10.72544186
1463609,1463609,1190,BEVERAGES,0,10.25601815
1463610,1463610,1190,BEVERAGES,0,2.854174946
1463611,1463611,1190,BEVERAGES,0,3.678144885
1463619,1463619,1114,BEVERAGES,0,10.23902004
1463620,1463620,1114,BEVERAGES,0,3.850222692
1463621,1463621,1114,BEVERAGES,0,6.816495485
1463625,1463625,1118,BEVERAGES,0,5.466138257
1463626,1463626,1118,BEVERAGES,0,5.539292229
1463632,1463632,1148,BEVERAGES,0,10.49567948
1463637,1463637,1148,BEVERAGES,0,3.707023767
1463693,1463693,1190,BEVERAGES,0,7.239127258
1463707,1463707,1116,BEVERAGES,0,9.56652169
1463765,1463765,1190,BEVERAGES,0,3.132793998
1463767,1463767,1114,BEVERAGES,0,2.438314655
1463769,1463769,1114,BEVERAGES,0,3.571601306
1463770,1463770,1114,BEVERAGES,0,8.238645174
1463771,1463771,1114,BEVERAGES,0,7.875350768
1463772,1463772,1114,BEVERAGES,0,2.830544866
1463773,1463773,1114,BEVERAGES,0,3.813086904
1463783,1463783,1114,BEVERAGES,0,8.848475962
1463784,1463784,1114,BEVERAGES,0,6.2138081
1463786,1463786,1116,BEVERAGES,0,7.1903362
1463787,1463787,1116,BEVERAGES,0,3.291431992
1463788,1463788,1116,BEVERAGES,0,7.616298237
1463789,1463789,1116,BEVERAGES,0,2.827712501
1463790,1463790,1116,BEVERAGES,0,6.032908316
1463791,1463791,1116,BEVERAGES,0,3.535801285
1463797,1463797,1118,BEVERAGES,0,9.237309827
1463798,1463798,1118,BEVERAGES,0,4.689107602
1463799,1463799,1118,BEVERAGES,0,2.853200708
1463800,1463800,1118,BEVERAGES,0,3.103060692
1463801,1463801,1118,BEVERAGES,0,2.320256972
1463805,1463805,1146,BEVERAGES,0,6.130356917
1463806,1463806,1146,BEVERAGES,0,9.959620622
1463807,1463807,1146,BEVERAGES,0,5.654221441
1463808,1463808,1146,BEVERAGES,0,7.006288631
1463810,1463810,1148,BEVERAGES,0,9.8044449
1463812,1463812,1148,BEVERAGES,0,4.237513449
1463814,1463814,1148,BEVERAGES,0,3.066715881
1463819,1463819,1148,BEVERAGES,0,6.953784334
1463820,1463820,1148,BEVERAGES,0,6.612347714
1463823,1463823,1148,BEVERAGES,0,5.363643998
1463825,1463825,1148,BEVERAGES,0,4.706477056
1463851,1463851,1118,BEVERAGES,0,5.140914601
1463852,1463852,1118,BEVERAGES,0,9.437009208
1463855,1463855,1148,BEVERAGES,0,1.861787092
1463857,1463857,1148,BEVERAGES,0,6.776675478
1463859,1463859,1148,BEVERAGES,0,6.92757494
1463860,1463860,1148,BEVERAGES,0,6.438331979
1463862,1463862,1148,BEVERAGES,0,2.824924428
1463864,1463864,1148,BEVERAGES,0,1.47073706
1463865,1463865,1148,BEVERAGES,0,1.993029608
1463866,1463866,1148,BEVERAGES,0,4.398712419
1463867,1463867,1148,BEVERAGES,0,8.369387419
1463881,1463881,1144,BEVERAGES,0,8.166731091
1463882,1463882,1144,BEVERAGES,0,10.98532009
1463883,1463883,1144,BEVERAGES,0,5.8383977
1463885,1463885,1144,BEVERAGES,0,7.23989634
1463886,1463886,1144,BEVERAGES,0,4.261586505
1463887,1463887,1144,BEVERAGES,0,4.536520565
1463888,1463888,1144,BEVERAGES,0,3.51523853
1463896,1463896,1144,BEVERAGES,0,6.176343
1463897,1463897,1144,BEVERAGES,0,3.569180148
1463898,1463898,1144,BEVERAGES,0,10.77588634
1463899,1463899,1144,BEVERAGES,0,2.822071854
1463900,1463900,1144,BEVERAGES,0,8.692085912
1463914,1463914,1114,BEVERAGES,0,5.753236272
1463934,1463934,1116,BEVERAGES,0,3.376324631
1463935,1463935,1116,BEVERAGES,0,9.590206316
1463936,1463936,1116,BEVERAGES,0,9.711301321
1463992,1463992,1144,BEVERAGES,0,7.248827378
1463993,1463993,1144,BEVERAGES,0,1.795483859
1463994,1463994,1144,BEVERAGES,0,3.949314433
1463995,1463995,1148,BEVERAGES,0,4.415391122
1463998,1463998,1148,BEVERAGES,0,6.135379225
1464002,1464002,1148,BEVERAGES,0,9.873144429
1464005,1464005,1148,BEVERAGES,0,1.766327596
1464008,1464008,1148,BEVERAGES,0,8.531747033
1464010,1464010,1148,BEVERAGES,0,7.822623687
1464025,1464025,1148,BEVERAGES,0,10.25559633
1464027,1464027,1148,BEVERAGES,0,7.516999489
1464028,1464028,1148,BEVERAGES,0,1.851289621
1464029,1464029,1148,BEVERAGES,0,7.839400784
1464031,1464031,1148,BEVERAGES,0,9.897501956
1464034,1464034,1148,BEVERAGES,0,10.57746446
1464035,1464035,1148,BEVERAGES,0,7.045040686
1464038,1464038,1148,BEVERAGES,0,8.623394188
1464039,1464039,1116,BEVERAGES,0,3.555008796
1464041,1464041,1144,BEVERAGES,0,9.316384143
1464042,1464042,1144,BEVERAGES,0,4.354282229
1464043,1464043,1144,BEVERAGES,0,3.028721927
1464045,1464045,1114,BEVERAGES,0,1.258867907
1464063,1464063,1190,BEVERAGES,0,8.476283136
1464065,1464065,1190,BEVERAGES,0,2.625487515
1464066,1464066,1190,BEVERAGES,0,5.938864206
1464070,1464070,1190,BEVERAGES,0,6.941609609
1464071,1464071,1190,BEVERAGES,0,4.174708642
1464072,1464072,1190,BEVERAGES,0,5.215385982
1464073,1464073,1190,BEVERAGES,0,7.499215159
1464074,1464074,1190,BEVERAGES,0,8.289650543
1464076,1464076,1190,BEVERAGES,0,8.293717135
1464077,1464077,1190,BEVERAGES,0,6.658034083
1464079,1464079,1190,BEVERAGES,0,5.283730656
1464081,1464081,1190,BEVERAGES,0,5.789721452
1464082,1464082,1190,BEVERAGES,0,9.887291334
1464086,1464086,1144,BEVERAGES,0,3.796512959
1464087,1464087,1144,BEVERAGES,0,1.210285282
1464088,1464088,1144,BEVERAGES,0,9.149935659
1464090,1464090,1144,BEVERAGES,0,3.783361194
1464091,1464091,1148,BEVERAGES,0,3.22170423
1464092,1464092,1148,BEVERAGES,0,2.819639233
1464093,1464093,1148,BEVERAGES,0,1.52855427
1464094,1464094,1148,BEVERAGES,0,3.648642289
1464095,1464095,1148,BEVERAGES,0,6.332010221
1464097,1464097,1148,BEVERAGES,0,1.929956326
1464099,1464099,1148,BEVERAGES,0,2.746916804
1464133,1464133,1146,BEVERAGES,0,9.97242493
1464134,1464134,1146,BEVERAGES,0,2.921639321
1464137,1464137,1190,BEVERAGES,0,3.290677958
1464153,1464153,1190,BEVERAGES,0,3.979524326
1464177,1464177,1190,BEVERAGES,0,10.30508524
1464186,1464186,1190,BEVERAGES,0,9.978037333
1464188,1464188,1190,BEVERAGES,0,3.868502443
1464192,1464192,1190,BEVERAGES,0,6.116543505
1464194,1464194,1190,BEVERAGES,0,10.43295446
1464196,1464196,1190,BEVERAGES,0,4.019068185
1464198,1464198,1190,BEVERAGES,0,4.852867588
1464201,1464201,1190,BEVERAGES,0,2.547454059
1464205,1464205,1190,BEVERAGES,0,9.9772377
1464207,1464207,1114,BEVERAGES,0,3.5397885
1464208,1464208,1114,BEVERAGES,0,6.501938981
1464209,1464209,1114,BEVERAGES,0,2.175911785
1464210,1464210,1114,BEVERAGES,0,7.738048674
1464217,1464217,1116,BEVERAGES,0,4.786047743
1464218,1464218,1116,BEVERAGES,0,10.17952468
1464237,1464237,1144,BEVERAGES,0,1.826769063
1464238,1464238,1144,BEVERAGES,0,7.755515227
1464239,1464239,1144,BEVERAGES,0,7.204450819
1464240,1464240,1144,BEVERAGES,0,5.613166323
1464241,1464241,1144,BEVERAGES,0,9.85687544
1464246,1464246,1148,BEVERAGES,0,5.564388455
1464256,1464256,1114,BEVERAGES,0,6.749721973
1464257,1464257,1114,BEVERAGES,0,10.09226977
1464258,1464258,1114,BEVERAGES,0,6.766069048
1464302,1464302,1115,BEVERAGES,0,5.440649892
1464309,1464309,1115,BEVERAGES,0,3.851732873
1464312,1464312,1114,BEVERAGES,0,8.79099536
1464607,1464607,1114,BEVERAGES,0,3.308497536
1464907,1464907,1144,BEVERAGES,0,5.155643521
1464910,1464910,1148,BEVERAGES,0,9.618378157
1464919,1464919,1148,BEVERAGES,0,1.243817688
1464941,1464941,1148,BEVERAGES,0,9.609456313
1465130,1465130,1144,BEVERAGES,0,5.429294722
1466039,1466039,1114,BEVERAGES,0,10.83855604
1466047,1466047,1114,BEVERAGES,0,3.983385881
1466049,1466049,1114,BEVERAGES,0,2.732821854
1466077,1466077,1118,BEVERAGES,0,2.56635313
1898959,1898959,1126,BEVERAGES,0,1.794178188
1898960,1898960,1126,BEVERAGES,0,9.63425867
1898961,1898961,1126,BEVERAGES,0,6.108768723
1904678,1904678,1138,BEVERAGES,0,5.233132031
1909752,1909752,1144,BEVERAGES,0,8.187798073
1913236,1913236,1122,BEVERAGES,0,6.018300118
1914277,1914277,1136,BEVERAGES,0,5.952015164
1914278,1914278,1136,BEVERAGES,0,10.38829519
1914279,1914279,1136,BEVERAGES,0,4.257277138
1914280,1914280,1136,BEVERAGES,0,5.747029746
1914786,1914786,1120,BEVERAGES,0,7.568530074
1917879,1917879,1114,BEVERAGES,0,2.672430358
1918621,1918621,1146,BEVERAGES,0,2.297771864
1926105,1926105,1148,BEVERAGES,0,1.162984704
1926106,1926106,1148,BEVERAGES,0,10.51781053
1926107,1926107,1148,BEVERAGES,0,8.111909459
1932491,1932491,1122,BEVERAGES,0,1.028450734
1932492,1932492,1122,BEVERAGES,0,3.600003982
1932493,1932493,1122,BEVERAGES,0,9.257288044
1936931,1936931,1124,BEVERAGES,0,3.388468337
1937039,1937039,1124,BEVERAGES,0,4.588986104
1937083,1937083,1136,BEVERAGES,0,5.915894581
1937454,1937454,1120,BEVERAGES,0,4.932158082
1938490,1938490,1144,BEVERAGES,0,2.809575242
1938600,1938600,1124,BEVERAGES,0,4.587630622
1939221,1939221,1124,BEVERAGES,0,3.188999576
1939383,1939383,1144,BEVERAGES,0,5.739495562
1939424,1939424,1144,BEVERAGES,0,4.514146532
1939531,1939531,1144,BEVERAGES,0,9.911682095
1942510,1942510,1122,BEVERAGES,0,6.154839527
1943435,1943435,1114,BEVERAGES,0,4.207171268
1943792,1943792,1114,BEVERAGES,0,4.29321954
1944889,1944889,1114,BEVERAGES,0,7.445873642
1944899,1944899,1118,BEVERAGES,0,6.856090827
1948448,1948448,1124,BEVERAGES,0,1.700224207
1948483,1948483,1124,BEVERAGES,0,5.029811445
1949662,1949662,1122,BEVERAGES,0,8.904398341
1950170,1950170,1132,BEVERAGES,0,4.976076039
1950405,1950405,1114,BEVERAGES,0,4.946648255
1951039,1951039,1124,BEVERAGES,0,8.969119009
1951042,1951042,1122,BEVERAGES,0,6.284553477
1958166,1958166,1142,BEVERAGES,0,5.495915161
1958171,1958171,1142,BEVERAGES,0,1.879527814
1958175,1958175,1142,BEVERAGES,0,6.725740105
1958177,1958177,1142,BEVERAGES,0,4.527167268
1958179,1958179,1142,BEVERAGES,0,1.117940985
1958181,1958181,1142,BEVERAGES,0,3.220445902
1958185,1958185,1142,BEVERAGES,0,2.344892354
1958186,1958186,1142,BEVERAGES,0,10.32204931
1958187,1958187,1142,BEVERAGES,0,4.552738521
1958189,1958189,1142,BEVERAGES,0,5.054703196
1958191,1958191,1142,BEVERAGES,0,4.473356643
1958193,1958193,1142,BEVERAGES,0,5.782335339
1958200,1958200,1142,BEVERAGES,0,2.350264002
1958201,1958201,1142,BEVERAGES,0,9.716580186
1958202,1958202,1142,BEVERAGES,0,8.934515623
1958210,1958210,1142,BEVERAGES,0,3.489922774
1958216,1958216,1142,BEVERAGES,0,9.441972397
1958217,1958217,1142,BEVERAGES,0,5.70940675
1958218,1958218,1142,BEVERAGES,0,6.195903318
1958219,1958219,1142,BEVERAGES,0,9.20817297
1958223,1958223,1142,BEVERAGES,0,6.693494607
1958226,1958226,1142,BEVERAGES,0,2.149803296
1958231,1958231,1142,BEVERAGES,0,7.43445138
1958238,1958238,1142,BEVERAGES,0,5.605835172
1958245,1958245,1142,BEVERAGES,0,4.811612066
1958249,1958249,1142,BEVERAGES,0,8.5905781
1958252,1958252,1142,BEVERAGES,0,1.501296807
1960256,1960256,1114,BEVERAGES,0,7.885100912
1962621,1962621,1124,BEVERAGES,0,6.316264287
1964738,1964738,1126,BEVERAGES,0,1.840694204
1964739,1964739,1136,BEVERAGES,0,8.831217415
1964804,1964804,1126,BEVERAGES,0,8.978031691
1964810,1964810,1126,BEVERAGES,0,7.860381186
1964850,1964850,1120,BEVERAGES,0,6.542505202
1965367,1965367,1132,BEVERAGES,0,3.323879681
1966167,1966167,1124,BEVERAGES,0,10.34420891
1966995,1966995,1124,BEVERAGES,0,9.580535781
1971255,1971255,1124,BEVERAGES,0,2.783526803
1971317,1971317,1122,BEVERAGES,0,7.166407057
1971365,1971365,1124,BEVERAGES,0,4.768974511
1971423,1971423,1136,BEVERAGES,0,7.761484787
1973919,1973919,1124,BEVERAGES,0,2.619332261
1974834,1974834,1124,BEVERAGES,0,7.111057641
1974921,1974921,1118,BEVERAGES,0,5.093161327
1976186,1976186,1124,BEVERAGES,0,10.01312225
1976260,1976260,1124,BEVERAGES,0,10.38719174
1976710,1976710,1114,BEVERAGES,0,4.712932756
1977486,1977486,1150,BEVERAGES,0,7.590645774
1979268,1979268,1148,BEVERAGES,0,3.126239727
1980485,1980485,1126,BEVERAGES,0,10.89485588
1980532,1980532,1122,BEVERAGES,0,7.400364917
1980702,1980702,1122,BEVERAGES,0,1.849134098
1980754,1980754,1126,BEVERAGES,0,4.438246693
1980755,1980755,1120,BEVERAGES,0,9.38366127
1986680,1986680,1142,BEVERAGES,0,1.895956193
1990061,1990061,1144,BEVERAGES,0,9.826550924
1990453,1990453,1124,BEVERAGES,0,4.636591348
1990612,1990612,1124,BEVERAGES,0,9.404974463
